HOG	OG	Gene Tree Parent Clade	Bombus_affinis	Bombus_bifarius	Bombus_pyrosoma	Bombus_terrestris
N0.HOG0007525	OG0007269	n0	LOC126923520	LOC117217305	LOC122574760	LOC100650662
N0.HOG0007526	OG0007270	n0	LOC126923528	LOC117217307	LOC122574764	LOC100642585
N0.HOG0007527	OG0007271	n0	LOC126923518	LOC117217303	LOC122574759	LOC100648458
N0.HOG0007528	OG0007272	n0	LOC126923524	LOC117217306	LOC122574762	LOC105666482
N0.HOG0007529	OG0007273	n0	LOC126923532	LOC117217309	LOC122574766	LOC100643298
N0.HOG0007530	OG0007274	n0	LOC126923530	LOC117217308	LOC122574756	LOC100646559
N0.HOG0007531	OG0007275	n0	LOC126923536	LOC117217242	LOC122574758	LOC100644657
N0.HOG0007532	OG0007276	n0	LOC126923519	LOC117217240	LOC122574755	LOC100648226
N0.HOG0007533	OG0007277	n0	LOC126923534	LOC117217210	LOC122574757	LOC100643712
N0.HOG0007534	OG0007278	n0	LOC126923516	LOC117217208	LOC122574754	LOC100648113
N0.HOG0007535	OG0007279	n0	LOC126923771	LOC117217209	LOC122574699	LOC105666481
N0.HOG0007536	OG0007280	n0	LOC126923772	LOC117217282	LOC122574700	LOC100643136
N0.HOG0007537	OG0007281	n0	LOC126923770	LOC117217281	LOC122574697	LOC100651464
N0.HOG0007538	OG0007282	n0	LOC126923428	LOC117217268	LOC122575019	LOC100651298
N0.HOG0007539	OG0007283	n0	LOC126923421	LOC117217265	LOC122575016	LOC100643177
N0.HOG0007540	OG0007284	n0	LOC126923426	LOC117217267	LOC122575018	LOC100651175
N0.HOG0007541	OG0007285	n0	LOC126923413	LOC117217262	LOC122575012	LOC100647673
N0.HOG0007542	OG0007286	n0	LOC126923423	LOC117217266	LOC122575017	LOC100650129
N0.HOG0007543	OG0007287	n0	LOC126923410	LOC117217259	LOC122575008	LOC100652055
N0.HOG0007544	OG0007288	n0	LOC126923411	LOC117217260	LOC122575010	LOC100647437
N0.HOG0007545	OG0007289	n0	LOC126923407	LOC117217258	LOC122575007	LOC100650540
N0.HOG0007546	OG0007290	n0	LOC126923429	LOC117217269	LOC122575020	LOC100646077
N0.HOG0007547	OG0007291	n0	LOC126923412	LOC117217261	LOC122575011	LOC100650979
N0.HOG0007548	OG0007292	n0	LOC126923406	LOC117217257	LOC122575006	LOC100647994
N0.HOG0007549	OG0007293	n0	LOC126923419	LOC117217264	LOC122575014	LOC100647993
N0.HOG0007550	OG0007294	n0	LOC126923418	LOC117217205	LOC122575013	LOC100647788
N0.HOG0007551	OG0007295	n0	LOC126923420	LOC117217206	LOC122575015	LOC105666478
N0.HOG0007552	OG0007296	n0	LOC126923422	LOC117217207	LOC122574555	LOC100650860
N0.HOG0007553	OG0007297	n0	LOC126923408	LOC117217203	LOC122574551	LOC100642705
N0.HOG0007554	OG0007298	n0	LOC126923415	LOC117217204	LOC122574553	LOC100651699
N0.HOG0007555	OG0007299	n0	LOC126923409	LOC117217245	LOC122574552	LOC100647874
N0.HOG0007556	OG0007300	n0	LOC126923424	LOC117217243	LOC122574556	LOC100651775
N0.HOG0007557	OG0007301	n0	LOC126923427	LOC117217244	LOC122574557	LOC100644078
N0.HOG0007558	OG0007302	n0	LOC126923414	LOC117217221	LOC122575283	LOC100651817
N0.HOG0007559	OG0007303	n0	LOC126923475	LOC117205640	LOC122574912	LOC100648572
N0.HOG0007560	OG0007304	n0	LOC126923479	LOC117206127	LOC122574915	LOC125386322
N0.HOG0007561	OG0007305	n0	LOC126923477	LOC117206120	LOC122574992	LOC100652016
N0.HOG0007562	OG0007306	n0	LOC126923470	LOC117206059	LOC122574909	LOC100651223
N0.HOG0007563	OG0007307	n0	LOC126923476	LOC117206084	LOC122574913	LOC100651896
N0.HOG0007564	OG0007308	n0	LOC126923478	LOC117207360	LOC122574914	LOC105666476
N0.HOG0007565	OG0007309	n0	LOC126923469	LOC117206046	LOC122574908	LOC100649150
N0.HOG0007566	OG0007310	n0	LOC126923471	LOC117217273	LOC122574576	LOC100650786
N0.HOG0007567	OG0007311	n0	LOC126923042	LOC117210429	LOC122575178	LOC100648339
N0.HOG0007568	OG0007312	n0	LOC126923043	LOC117209038	LOC122575301	LOC100650012
N0.HOG0007569	OG0007313	n0	LOC126923029	LOC117209027	LOC122575300	LOC100642940
N0.HOG0007570	OG0007314	n0	LOC126923045	LOC117206339	LOC122574938	LOC100645962
N0.HOG0007571	OG0007315	n0	LOC126923025	LOC117206224	LOC122574932	LOC100651582
N0.HOG0007572	OG0007316	n0	LOC126923039	LOC117206315	LOC122574936	LOC100649783
N0.HOG0007573	OG0007317	n0	LOC126923024	LOC117206207	LOC122574930	LOC100650219
N0.HOG0007574	OG0007318	n0	LOC126923044	LOC117206330	LOC122574937	LOC100649473
N0.HOG0007575	OG0007319	n0	LOC126923027	LOC117206229	LOC122574933	LOC100652256
N0.HOG0007576	OG0007320	n0	LOC126923034	LOC117206267	LOC122574935	LOC100649234
N0.HOG0007577	OG0007321	n0	LOC126923023	LOC117206200	LOC122574929	LOC100650341
N0.HOG0007578	OG0007322	n0	LOC126923030	LOC117206258	LOC122574934	LOC100650254
N0.HOG0007579	OG0007323	n0	LOC126923048	LOC117206347	LOC122574939	LOC100652254
N0.HOG0007580	OG0007324	n0	LOC126923020	LOC117206164	LOC122574927	LOC100643422
N0.HOG0007581	OG0007325	n0	LOC126923028	LOC117206242	LOC122575226	LOC100642467
N0.HOG0007582	OG0007326	n0	LOC126923035	LOC117206300	LOC122575228	LOC100646802
N0.HOG0007583	OG0007327	n0	LOC126923032	LOC117206283	LOC122575227	LOC100642226
N0.HOG0007584	OG0007328	n0	LOC126923036	LOC117217147	LOC122575229	LOC100648456
N0.HOG0007585	OG0007329	n0	LOC126923040	LOC117217161	LOC122575230	LOC100649353
N0.HOG0007586	OG0007330	n0	LOC126923022	LOC117205224	LOC122574635	LOC100646561
N0.HOG0007587	OG0007331	n0	LOC126923259	LOC117205368	LOC122575193	LOC100646319
N0.HOG0007588	OG0007332	n0	LOC126923248	LOC117205359	LOC122575192	LOC100651659
N0.HOG0007589	OG0007333	n0	LOC126923261	LOC117207358	LOC122575189	LOC100646008
N0.HOG0007590	OG0007334	n0	LOC126923239	LOC117207912	LOC122575191	LOC100646680
N0.HOG0007591	OG0007335	n0	LOC126923238	LOC117207907	LOC122575190	LOC100648112
N0.HOG0007592	OG0007336	n0	LOC126923242	LOC117207920	LOC122574813	LOC100645891
N0.HOG0007593	OG0007337	n0	LOC126923241	LOC117207830	LOC122574812	LOC100648225
N0.HOG0007594	OG0007338	n0	LOC126923256	LOC117207882	LOC122574821	LOC100642900
N0.HOG0007595	OG0007339	n0	LOC126923244	LOC117207843	LOC122574814	LOC100648800
N0.HOG0007596	OG0007340	n0	LOC126923227	LOC117207747	LOC122574804	LOC100652138
N0.HOG0007597	OG0007341	n0	LOC126923258	LOC117207896	LOC122574822	LOC100647118
N0.HOG0007598	OG0007342	n0	LOC126923250	LOC117207861	LOC122574818	LOC100646201
N0.HOG0007599	OG0007343	n0	LOC126923251	LOC117207854	LOC122574816	LOC100651541
N0.HOG0007600	OG0007344	n0	LOC126923230	LOC117207815	LOC122574806	LOC105666474
N0.HOG0007601	OG0007345	n0	LOC126923253	LOC117207871	LOC122574819	LOC100643827
N0.HOG0007602	OG0007346	n0	LOC126923252	LOC117207737	LOC122574817	LOC100631077
N0.HOG0007603	OG0007347	n0	LOC126923232	LOC117207708	LOC122574808	LOC100651934
N0.HOG0007604	OG0007348	n0	LOC126923255	LOC117207746	LOC122574820	LOC100643954
N0.HOG0007605	OG0007349	n0	LOC126923237	LOC117207713	LOC122574811	LOC100651345
N0.HOG0007606	OG0007350	n0	LOC126923246	LOC117216807	LOC122574815	LOC100650500
N0.HOG0007607	OG0007351	n0	LOC126923229	LOC117216789	LOC122574805	LOC100650981
N0.HOG0007608	OG0007352	n0	LOC126923235	LOC117216795	LOC122574810	LOC100647314
N0.HOG0007609	OG0007353	n0	LOC126923234	LOC117216812	LOC122574823	LOC100647277
N0.HOG0007610	OG0007354	n0	LOC126923254	LOC117208123	LOC122574539	LOC100644417
N0.HOG0007611	OG0007355	n0	LOC126923236	LOC117208076	LOC122574535	LOC100649897
N0.HOG0007612	OG0007356	n0	LOC126923260	LOC117208137	LOC122574541	LOC100644534
N0.HOG0007613	OG0007357	n0	LOC126923249	LOC117208115	LOC122574538	LOC100642346
N0.HOG0007614	OG0007358	n0	LOC126923245	LOC117208099	LOC122574537	LOC100649116
N0.HOG0007615	OG0007359	n0	LOC126923243	LOC117208087	LOC122574536	LOC100646925
N0.HOG0007616	OG0007360	n0	LOC126923257	LOC117208128	LOC122574540	LOC100647237
N0.HOG0007617	OG0007361	n0	LOC126923269	LOC117205948	LOC122574645	LOC100647161
N0.HOG0007618	OG0007362	n0	LOC126923278	LOC117208924	LOC122574563	LOC100645219
N0.HOG0007619	OG0007363	n0	LOC126923280	LOC117208931	LOC122574564	LOC100652137
N0.HOG0007620	OG0007364	n0	LOC126923275	LOC117217112	LOC122575082	LOC100650742
N0.HOG0007621	OG0007365	n0	LOC126923281	LOC117217121	LOC122575093	LOC100644191
N0.HOG0007622	OG0007366	n0	LOC126923271	LOC117211599	LOC122575078	LOC100646437
N0.HOG0007623	OG0007367	n0	LOC126923267	LOC117211443	LOC122575075	LOC100643059
N0.HOG0007624	OG0007368	n0	LOC126923268	LOC117211543	LOC122575079	LOC100642225
N0.HOG0007625	OG0007369	n0	LOC126923285	LOC117212087	LOC122575099	LOC100646681
N0.HOG0007626	OG0007370	n0	LOC126923284	LOC117212019	LOC122575097	LOC100644780
N0.HOG0007627	OG0007371	n0	LOC126923276	LOC117211953	LOC122575085	LOC100644309
N0.HOG0007628	OG0007372	n0	LOC126923272	LOC117211699	LOC122575080	LOC100650376
N0.HOG0007629	OG0007373	n0	LOC126923273	LOC117211856	LOC122575081	LOC100646200
N0.HOG0007630	OG0007374	n0	LOC126923279	LOC117212214	LOC122575087	LOC105666495
N0.HOG0007631	OG0007375	n0	LOC126923266	LOC117214534	LOC122575074	LOC100645502
N0.HOG0007632	OG0007376	n0	LOC126923274	LOC117214664	LOC122575083	LOC100649670
N0.HOG0007633	OG0007377	n0	LOC126923277	LOC117214766	LOC122575089	LOC100643014
N0.HOG0007634	OG0007378	n0	LOC126923751	LOC117205985	LOC122575094	LOC100645848
N0.HOG0007635	OG0007379	n0	LOC126923746	LOC117205973	LOC122575086	LOC100642776
N0.HOG0007636	OG0007380	n0	LOC126923742	LOC117216496	LOC122575076	LOC100646926
N0.HOG0007637	OG0007381	n0	LOC126923743	LOC117216657	LOC122575077	LOC100647117
N0.HOG0007638	OG0007382	n0	LOC126923747	LOC117216675	LOC122575088	LOC100645025
N0.HOG0007639	OG0007383	n0	LOC126923750	LOC117216694	LOC122575098	LOC100646804
N0.HOG0007640	OG0007384	n0	LOC126923748	LOC117216688	LOC122575090	LOC100646997
N0.HOG0007641	OG0007385	n0	LOC126923741	LOC117216362	LOC122575051	LOC100646682
N0.HOG0007642	OG0007386	n0	LOC126923744	LOC117208471	LOC122575217	LOC105666469
N0.HOG0007643	OG0007387	n0	LOC126923749	LOC117208495	LOC122575261	LOC100642658
N0.HOG0007644	OG0007388	n0	LOC126923663	LOC117207337	LOC122574990	LOC100646439
N0.HOG0007645	OG0007389	n0	LOC126923740	LOC117208434	LOC122575259	LOC100648912
N0.HOG0007646	OG0007390	n0	LOC126923739	LOC117207322	LOC122575258	LOC100646320
N0.HOG0007647	OG0007391	n0	LOC126923460	LOC117211033	LOC122574722	LOC100646318
N0.HOG0007648	OG0007392	n0	LOC126923464	LOC117208170	LOC122574733	LOC100642347
N0.HOG0007649	OG0007393	n0	LOC126923463	LOC117208163	LOC122574732	LOC100651101
N0.HOG0007650	OG0007394	n0	LOC126923461	LOC117208139	LOC122574726	LOC100647396
N0.HOG0007651	OG0007395	n0	LOC126923462	LOC117208151	LOC122574727	LOC100646438
N0.HOG0007652	OG0007396	n0	LOC126923369	LOC117206003	LOC122574730	LOC100649426
N0.HOG0007653	OG0007397	n0	LOC126923363	LOC117208042	LOC122574729	LOC100649233
N0.HOG0007654	OG0007398	n0	LOC126923355	LOC117207987	LOC122574724	LOC100649115
N0.HOG0007655	OG0007399	n0	LOC126923362	LOC117208028	LOC122574728	LOC100648768
N0.HOG0007656	OG0007400	n0	LOC126923356	LOC117208010	LOC122574725	LOC100648656
N0.HOG0007657	OG0007401	n0	LOC126923370	LOC117205270	LOC122574731	LOC100648881
N0.HOG0007658	OG0007402	n0	LOC126923664	LOC117205279	LOC122574987	LOC100651658
N0.HOG0007659	OG0007403	n0	LOC126923373	LOC117204426	LOC122574713	LOC100648534
N0.HOG0007660	OG0007404	n0	LOC126923374	LOC117204431	LOC122574714	LOC105666463
N0.HOG0007661	OG0007405	n0	LOC126923364	LOC117217215	LOC122574653	LOC100648415
N0.HOG0007662	OG0007406	n0	LOC126923357	LOC117217177	LOC122574652	LOC100648298
N0.HOG0007663	OG0007407	n0	LOC126923368	LOC117205173	LOC122574617	LOC100648184
N0.HOG0007664	OG0007408	n0	LOC126923376	LOC117205180	LOC122574626	LOC100647551
N0.HOG0007665	OG0007409	n0	LOC126923361	LOC117205192	LOC122574606	LOC100646125
N0.HOG0007666	OG0007410	n0	LOC126923372	LOC117204584	LOC122574631	LOC105666468
N0.HOG0007667	OG0007411	n0	LOC126923366	LOC117204473	LOC122574612	LOC100646241
N0.HOG0007668	OG0007412	n0	LOC126923666	LOC117204609	LOC122574632	LOC105666466
N0.HOG0007669	OG0007413	n0	LOC126923359	LOC117204447	LOC122574603	LOC100645689
N0.HOG0007670	OG0007414	n0	LOC126923375	LOC117204517	LOC122574623	LOC100646843
N0.HOG0007671	OG0007415	n0	LOC126923367	LOC117204482	LOC122574616	LOC100646360
N0.HOG0007672	OG0007416	n0	LOC126923379	LOC117204578	LOC122574629	LOC100647672
N0.HOG0007673	OG0007417	n0	LOC126923378	LOC117204552	LOC122574628	LOC100647197
N0.HOG0007674	OG0007418	n0	LOC126923759	LOC117204460	LOC122574604	LOC100645573
N0.HOG0007675	OG0007419	n0	LOC126923760	LOC117204491	LOC122574618	LOC100646963
N0.HOG0007676	OG0007420	n0	LOC126923674	LOC117204598	LOC122574986	LOC100651418
N0.HOG0007677	OG0007421	n0	LOC126923761	LOC117204523	LOC122574624	LOC100647313
N0.HOG0007678	OG0007422	n0	LOC126923396	LOC117205888	LOC122574615	LOC100645809
N0.HOG0007679	OG0007423	n0	LOC126923397	LOC117205909	LOC122574621	LOC100646602
N0.HOG0007680	OG0007424	n0	LOC126923402	LOC117205925	LOC122574627	LOC100647436
N0.HOG0007681	OG0007425	n0	LOC126923398	LOC117205903	LOC122574620	LOC100651297
N0.HOG0007682	OG0007426	n0	LOC126923392	LOC117205855	LOC122574610	LOC100646007
N0.HOG0007683	OG0007427	n0	LOC126923400	LOC117205920	LOC122574622	LOC100647079
N0.HOG0007684	OG0007428	n0	LOC126923386	LOC117205807	LOC122574605	LOC100646483
N0.HOG0007685	OG0007429	n0	LOC126923390	LOC117205820	LOC122574607	LOC100645138
N0.HOG0007686	OG0007430	n0	LOC126923391	LOC117205841	LOC122574608	LOC100645386
N0.HOG0007687	OG0007431	n0	LOC126923395	LOC117205877	LOC122574613	LOC100645024
N0.HOG0007688	OG0007432	n0	LOC126923401	LOC117217138	LOC122574592	LOC100644905
N0.HOG0007689	OG0007433	n0	LOC126923388	LOC117207217	LOC122575206	LOC100644619
N0.HOG0007690	OG0007434	n0	LOC126923389	LOC117207234	LOC122575207	LOC100644498
N0.HOG0007691	OG0007435	n0	LOC126923385	LOC117207201	LOC122575205	LOC100644378
N0.HOG0007692	OG0007436	n0	LOC126923394	LOC117205607	LOC122574636	LOC100644268
N0.HOG0007693	OG0007437	n0	LOC126922935	LOC117205998	LOC122575225	LOC100644147
N0.HOG0007694	OG0007438	n0	LOC126922920	LOC117205285	LOC122575204	LOC100643908
N0.HOG0007695	OG0007439	n0	LOC126922909	LOC117205209	LOC122574717	LOC100643782
N0.HOG0007696	OG0007440	n0	LOC126922946	LOC117205073	LOC122574790	LOC100643665
N0.HOG0007697	OG0007441	n0	LOC126922911	LOC117205052	LOC122574785	LOC100643543
N0.HOG0007698	OG0007442	n0	LOC126922902	LOC117204414	LOC122574782	LOC100643095
N0.HOG0007699	OG0007443	n0	LOC126922925	LOC117204630	LOC122574787	LOC100643297
N0.HOG0007700	OG0007444	n0	LOC126922908	LOC117204399	LOC122574784	LOC100642584
N0.HOG0007701	OG0007445	n0	LOC126922928	LOC117208515	LOC122574788	LOC100642385
N0.HOG0007702	OG0007446	n0	LOC126922955	LOC117208542	LOC122574791	LOC100642704
N0.HOG0007703	OG0007447	n0	LOC126922913	LOC117208504	LOC122574786	LOC100642263
N0.HOG0007704	OG0007448	n0	LOC126922948	LOC117208524	LOC122574789	LOC100642818
N0.HOG0007705	OG0007449	n0	LOC126922891	LOC117208904	LOC122575053	LOC100652294
N0.HOG0007706	OG0007450	n0	LOC126922951	LOC117205040	LOC122575054	LOC100652173
N0.HOG0007707	OG0007451	n0	LOC126922921	LOC117213974	LOC122574565	LOC100652054
N0.HOG0007708	OG0007452	n0	LOC126922931	LOC117214033	LOC122574566	LOC100651053
N0.HOG0007709	OG0007453	n0	LOC126922937	LOC117214166	LOC122574567	LOC105666460
N0.HOG0007710	OG0007454	n0	LOC126922893	LOC117209011	LOC122575309	LOC100651853
N0.HOG0007711	OG0007455	n0	LOC126922916	LOC117209022	LOC122575310	LOC100651732
N0.HOG0007712	OG0007456	n0	LOC126922954	LOC117204996	LOC122574801	LOC100651384
N0.HOG0007713	OG0007457	n0	LOC126922943	LOC117204953	LOC122574797	LOC100651262
N0.HOG0007714	OG0007458	n0	LOC126922901	LOC117204855	LOC122574793	LOC100651139
N0.HOG0007715	OG0007459	n0	LOC126922950	LOC117204983	LOC122574799	LOC100651018
N0.HOG0007716	OG0007460	n0	LOC126922944	LOC117204961	LOC122574798	LOC100650901
N0.HOG0007717	OG0007461	n0	LOC126922912	LOC117204885	LOC122574795	LOC100650785
N0.HOG0007718	OG0007462	n0	LOC126922907	LOC117204884	LOC122574794	LOC100650576
N0.HOG0007719	OG0007463	n0	LOC126922897	LOC117204821	LOC122574792	LOC100650339
N0.HOG0007720	OG0007464	n0	LOC126922929	LOC117204912	LOC122574796	LOC100650457
N0.HOG0007721	OG0007465	n0	LOC126922960	LOC117205005	LOC122574802	LOC100645574
N0.HOG0007722	OG0007466	n0	LOC126922953	LOC117204987	LOC122574800	LOC100645346
N0.HOG0007723	OG0007467	n0	LOC126922945	LOC117204973	LOC122575070	LOC100644620
N0.HOG0007724	OG0007468	n0	LOC126922956	LOC117205000	LOC122575071	LOC100645465
N0.HOG0007725	OG0007469	n0	LOC126922961	LOC117205019	LOC122575072	LOC100645690
N0.HOG0007726	OG0007470	n0	LOC126922915	LOC117204898	LOC122575067	LOC100650937
N0.HOG0007727	OG0007471	n0	LOC126922922	LOC117204902	LOC122575068	LOC100645099
N0.HOG0007728	OG0007472	n0	LOC126923676	LOC117204921	LOC122575069	LOC100645218
N0.HOG0007729	OG0007473	n0	LOC126922906	LOC117204866	LOC122575066	LOC100644862
N0.HOG0007730	OG0007474	n0	LOC126922899	LOC117204847	LOC122575065	LOC100644499
N0.HOG0007731	OG0007475	n0	LOC126922898	LOC117204843	LOC122575272	LOC100644190
N0.HOG0007732	OG0007476	n0	LOC126922939	LOC117204945	LOC122575275	LOC100644308
N0.HOG0007733	OG0007477	n0	LOC126922938	LOC117204930	LOC122575274	LOC100643953
N0.HOG0007734	OG0007478	n0	LOC126922942	LOC117204948	LOC122575276	LOC100644077
N0.HOG0007735	OG0007479	n0	LOC126922924	LOC117206022	LOC122575273	LOC100643826
N0.HOG0007736	OG0007480	n0	LOC126922949	LOC117217304	LOC122575277	LOC100643591
N0.HOG0007737	OG0007481	n0	LOC126922894	LOC117217293	LOC122575271	LOC100643464
N0.HOG0007738	OG0007482	n0	LOC126922904	LOC117210888	LOC122574600	LOC100643342
N0.HOG0007739	OG0007483	n0	LOC126922895	LOC117213584	LOC122574595	LOC100643096
N0.HOG0007740	OG0007484	n0	LOC126922927	LOC117213717	LOC122574597	LOC100650701
N0.HOG0007741	OG0007485	n0	LOC126922903	LOC117213650	LOC122574596	LOC100650577
N0.HOG0007742	OG0007486	n0	LOC126922941	LOC117213779	LOC122574598	LOC100642975
N0.HOG0007743	OG0007487	n0	LOC126922957	LOC117205960	LOC122574599	LOC100642862
N0.HOG0007744	OG0007488	n0	LOC126922917	LOC117204295	LOC122574660	LOC100642739
N0.HOG0007745	OG0007489	n0	LOC126922919	LOC117204324	LOC122574661	LOC100642619
N0.HOG0007746	OG0007490	n0	LOC126923677	LOC117207194	LOC122574657	LOC100650340
N0.HOG0007747	OG0007491	n0	LOC126922933	LOC117207977	LOC122574662	LOC100642300
N0.HOG0007748	OG0007492	n0	LOC126923488	LOC117207934	LOC122574658	LOC100652253
N0.HOG0007749	OG0007493	n0	LOC126923490	LOC117205203	LOC122574593	LOC100652136
N0.HOG0007750	OG0007494	n0	LOC126923491	LOC117206649	LOC122574594	LOC100650218
N0.HOG0007751	OG0007495	n0	LOC126923570	LOC117205967	LOC122574985	LOC110119840
N0.HOG0007752	OG0007496	n0	LOC126923561	LOC117204378	LOC122574905	LOC100647787
N0.HOG0007753	OG0007497	n0	LOC126923569	LOC117206398	LOC122574906	LOC100648373
N0.HOG0007754	OG0007498	n0	LOC126923545	LOC117206371	LOC122574901	LOC100648999
N0.HOG0007755	OG0007499	n0	LOC126923543	LOC117206364	LOC122574900	LOC100647637
N0.HOG0007756	OG0007500	n0	LOC126923551	LOC117206381	LOC122574902	LOC100649827
N0.HOG0007757	OG0007501	n0	LOC126923556	LOC117206397	LOC122574903	LOC100645847
N0.HOG0007758	OG0007502	n0	LOC126923563	LOC117206017	LOC122575250	LOC100645961
N0.HOG0007759	OG0007503	n0	LOC126923564	LOC117206597	LOC122574574	LOC100646076
N0.HOG0007760	OG0007504	n0	LOC126923547	LOC117206464	LOC122574738	LOC100646199
N0.HOG0007761	OG0007505	n0	LOC126923546	LOC117206434	LOC122574737	LOC100646317
N0.HOG0007762	OG0007506	n0	LOC126923562	LOC117206581	LOC122574746	LOC100646436
N0.HOG0007763	OG0007507	n0	LOC126923573	LOC117206617	LOC122574752	LOC105666451
N0.HOG0007764	OG0007508	n0	LOC126923544	LOC117206426	LOC122574736	LOC100646634
N0.HOG0007765	OG0007509	n0	LOC126923565	LOC117206607	LOC122574747	LOC100646842
N0.HOG0007766	OG0007510	n0	LOC126923549	LOC117206523	LOC122574740	LOC100649114
N0.HOG0007767	OG0007511	n0	LOC126923566	LOC117206613	LOC122574748	LOC100649232
N0.HOG0007768	OG0007512	n0	LOC126923550	LOC117206534	LOC122574741	LOC100647078
N0.HOG0007769	OG0007513	n0	LOC126923555	LOC117206558	LOC122574745	LOC100647196
N0.HOG0007770	OG0007514	n0	LOC126923553	LOC117206550	LOC122574743	LOC100647395
N0.HOG0007771	OG0007515	n0	LOC126923572	LOC117205126	LOC122574744	LOC100647516
N0.HOG0007772	OG0007516	n0	LOC126923552	LOC117205940	LOC122574742	LOC100649352
N0.HOG0007773	OG0007517	n0	LOC126923678	LOC117205931	LOC122574750	LOC125386304
N0.HOG0007774	OG0007518	n0	LOC126923679	LOC117206931	LOC122574751	LOC100649472
N0.HOG0007775	OG0007519	n0	LOC126923558	LOC117213028	LOC122575219	LOC100647821
N0.HOG0007776	OG0007520	n0	LOC126923567	LOC117213265	LOC122575220	LOC100648183
N0.HOG0007777	OG0007521	n0	LOC126923571	LOC117213413	LOC122575222	LOC105666454
N0.HOG0007778	OG0007522	n0	LOC126923568	LOC117213340	LOC122575221	LOC100648070
N0.HOG0007779	OG0007523	n0	LOC126923557	LOC117212966	LOC122575218	LOC100647942
N0.HOG0007780	OG0007524	n0	LOC126923624	LOC117206817	LOC122575280	LOC100648487
N0.HOG0007781	OG0007525	n0	LOC126923618	LOC117205338	LOC122574639	LOC100648607
N0.HOG0007782	OG0007526	n0	LOC126923615			LOC100644861, LOC105667057, LOC125386345
N0.HOG0007783	OG0007527	n0	LOC126923766	LOC117206038	LOC122575148	LOC110119881
N0.HOG0007784	OG0007528	n0	LOC126922890	LOC117206804	LOC122575147	LOC100643419
N0.HOG0007785	OG0007529	n0	LOC126923767	LOC117205105	LOC122575145	LOC100643296
N0.HOG0007786	OG0007530	n0	LOC126923650	LOC117205798	LOC122575146	LOC100643175
N0.HOG0007787	OG0007531	n0	LOC126923651	LOC117204438	LOC122575149	LOC100643057
N0.HOG0007788	OG0007532	n0	LOC126923648	LOC117207376	LOC122575144	LOC100644146
N0.HOG0007789	OG0007533	n0	LOC126923670	LOC117204371	LOC122574665	LOC100642938
N0.HOG0007790	OG0007534	n0	LOC126923668	LOC117204343	LOC122574664	LOC100642817
N0.HOG0007791	OG0007535	n0	LOC126923669	LOC117215043	LOC122574944	LOC100642703
N0.HOG0007792	OG0007536	n0	LOC126923671	LOC117215118	LOC122574946	LOC100642583
N0.HOG0007793	OG0007537	n0	LOC126923667	LOC117214981	LOC122574942	LOC100642262
N0.HOG0007794	OG0007538	n0	LOC126923680	LOC117212491	LOC122574947	LOC100642384
N0.HOG0007795	OG0007539	n0	LOC126923726	LOC117212324	LOC122574943	LOC100643907
N0.HOG0007796	OG0007540	n0	LOC126923727	LOC117212386	LOC122574945	LOC100643781
N0.HOG0007797	OG0007541	n0	LOC126922980	LOC117204622	LOC122575308	LOC100643664
N0.HOG0007798	OG0007542	n0	LOC126923769	LOC117214336	LOC122574601	LOC100652172
N0.HOG0007799	OG0007543	n0	LOC126923765	LOC117214233	LOC122574981	LOC100652053
N0.HOG0007800	OG0007544	n0	LOC126923756	LOC117205354	LOC122574580	LOC100651933
N0.HOG0007801	OG0007545	n0	LOC126923602	LOC117217088	LOC122574581	LOC100651698
N0.HOG0007802	OG0007546	n0	LOC126923603	LOC117217103	LOC122574582	LOC100651462
N0.HOG0007803	OG0007547	n0	LOC126923589	LOC117204040	LOC122575210	LOC100651221
N0.HOG0007804	OG0007548	n0	LOC126923585	LOC117204024	LOC122575208	LOC100651343
N0.HOG0007805	OG0007549	n0	LOC126923594	LOC117204051	LOC122575211	LOC100645607
N0.HOG0007806	OG0007550	n0	LOC126923597	LOC117204125	LOC122575213	LOC100645729
N0.HOG0007807	OG0007551	n0	LOC126923596	LOC117204093	LOC122575212	LOC100651099
N0.HOG0007808	OG0007552	n0	LOC126923601	LOC117204126	LOC122575214	LOC100650978
N0.HOG0007809	OG0007553	n0	LOC126923586	LOC117204012	LOC122575209	LOC100645501
N0.HOG0007810	OG0007554	n0	LOC126923579	LOC117217312	LOC122575102	LOC100645301
N0.HOG0007811	OG0007555	n0	LOC126923593	LOC117205139	LOC122575103	LOC100643542
N0.HOG0007812	OG0007556	n0	LOC126923591	LOC117205259	LOC122575202	LOC100645098
N0.HOG0007813	OG0007557	n0	LOC126923587	LOC117215829	LOC122574686	LOC100642618
N0.HOG0007814	OG0007558	n0	LOC126923588	LOC117216160	LOC122574687	LOC100642502
N0.HOG0007815	OG0007559	n0	LOC126923580	LOC117216959	LOC122574683	LOC100642299
N0.HOG0007816	OG0007560	n0	LOC126923599	LOC117217055	LOC122574692	LOC100652327
N0.HOG0007817	OG0007561	n0	LOC126923590	LOC117217010	LOC122574688	LOC100643825
N0.HOG0007818	OG0007562	n0	LOC126923583	LOC117216990	LOC122574684	LOC100651971
N0.HOG0007819	OG0007563	n0	LOC126923595	LOC117217026	LOC122574690	LOC100652092
N0.HOG0007820	OG0007564	n0	LOC126923582	LOC117217124	LOC122574682	LOC100651852
